ingreds,recipe,quant,ingred,Proper,Name,Price,units,Quantity,QUnit,Qunat_recipe,unit_recipe,stand_quant
Jasmine Rice,Hoisin Sticky Baked Chicken Breast,150 grams,Jasmine Rice,mai thai aaa jasmine fragrant rice,Mai Thai AAA Jasmine Fragrant Rice 5kg,5.5,5k,5000,g,150,grams,0.03
Sesame Seeds,Hoisin Sticky Baked Chicken Breast,15 grams,Sesame Seeds,Sesame Seeds,Sainsbury's Sesame Seeds 100g,1,100g,100,g,15,grams,0.15
Water for the Rice,Hoisin Sticky Baked Chicken Breast,300 milliliter(s),Water for the Rice,Water for the Rice,Water for the Rice,0,x1,1,unit,300,milliliter(s),1
Potato,Monkfish Medallions,1 pack(s),Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,1,pack(s),1
Bell Pepper,Monkfish Medallions,1 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,1,unit(s),1
Garlic Clove,Monkfish Medallions,2 clove,Garlic Clove,garlic,Garlic,0.25,x1,1,unit,2,clove,2
Lemon,Monkfish Medallions,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Flat Leaf Parsley,Monkfish Medallions,1 bunch(es),Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,1,bunch(es),1
Green Beans,Monkfish Medallions,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Shallot,Monkfish Medallions,1 unit(s),Shallot,Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Almonds,Monkfish Medallions,1 pack(s),Almonds,fudco whole almonds,Fudco Whole Almonds 500g,7,500g,500,g,1,pack(s),1
Serrano Ham,Monkfish Medallions,2 slice,Serrano Ham,british ham slices,British Ham Slices x10 115g,1,115g,115,g,2,slice,0.260869565
Smoked Paprika,Monkfish Medallions,1 pot(s),Smoked Paprika,smoked paprika,Smoked Paprika 44g,0.9,44g,44,g,1,pot(s),1
Monkfish Medallions,Monkfish Medallions,200 grams,Monkfish Medallions,Monkfish Medallions,Sainsbury's Fishmonger's Monkfish Fillets (approx. 170g),7.26,170g,170,g,200,grams,1.176470588
Olive Oil,Monkfish Medallions,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Baby Plum Tomatoes,Grilled Sea Bass,1 punnet(s),Baby Plum Tomatoes,baby plum tomatoes,Baby Plum Tomatoes 250g,0.75,250g,250,g,1,punnet(s),1
Lemon,Grilled Sea Bass,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Tarragon,Grilled Sea Bass,1 bunch(es),Tarragon,Tarragon,Sainsbury's Fresh Packed Tarragon 20g,0.75,20g,20,g,1,bunch(es),1
Sea Bass Fillets,Grilled Sea Bass,2 fillet,Sea Bass Fillets,sea bass fillets,Sea Bass Fillets 180g,3,180g,180,g,2,fillet,2
Creme Fraiche,Grilled Sea Bass,150 grams,Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,150,grams,0.75
Vegetable Stock Powder,Grilled Sea Bass,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Fresh Tagliatelle,Grilled Sea Bass,200 grams,Fresh Tagliatelle,Fresh Tagliatelle,Sainsbury's Fresh Egg Tagliatelle 500g,1.75,500g,500,g,200,grams,0.4
Pea Shoots,Grilled Sea Bass,1 bag(s),Pea Shoots,Pea Shoots,Sainsbury's Pea Shoots 50g,1,50g,50,g,1,bag(s),1
Olive Oil for the dressing,Grilled Sea Bass,1 tbsp,Olive Oil for the dressing,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Water for the Sauce,Grilled Sea Bass,1 unit(s),Water for the Sauce,Water for the Sauce,Water for the Sauce,0,x1,1,unit,1,unit(s),1
Garlic Clove,Sriracha Pork Noodles,2 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,2,unit(s),2
Ginger,Sriracha Pork Noodles,1 piece,Ginger,ground ginger,Ground Ginger 38g,0.85,38g,38,g,1,piece,0.394736842
Bok Choy,Sriracha Pork Noodles,2 unit(s),Bok Choy,Bok Choy,Sainsbury's Pak Choi 200g,1.2,200g,200,g,2,unit(s),2
Spring Onion,Sriracha Pork Noodles,1 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,1,unit(s),1
Noodles,Sriracha Pork Noodles,2 pack(s),Noodles,yutaka udon noodles,Yutaka Udon Noodles 250g,1.3,250g,250,g,2,pack(s),2
Sesame Seeds,Sriracha Pork Noodles,1 pot(s),Sesame Seeds,Sesame Seeds,Sainsbury's Sesame Seeds 100g,1,100g,100,g,1,pot(s),1
Pork Mince,Sriracha Pork Noodles,250 grams,Pork Mince,pork chops,Pork Chops x4 700g,3.5,700g,700,g,250,grams,0.357142857
Star Anise,Sriracha Pork Noodles,1 unit(s),Star Anise,Star Anise,Sainsbury's Star Anise 15g,1,15g,15,g,1,unit(s),1
Sriracha,Sriracha Pork Noodles,1 sachet,Sriracha,Sriracha,Flying Goose Sriracha Hot Chilli Sauce 455ml,1,455m,455,ml,1,sachet,1
Pad Thai Paste,Sriracha Pork Noodles,1 sachet,Pad Thai Paste,Pad Thai Paste,Sainsbury's Thai Green Curry Paste 180g,1.35,180g,180,g,1,sachet,1
Water for the Sauce,Sriracha Pork Noodles,1 unit(s),Water for the Sauce,Water for the Sauce,Water for the Sauce,0,x1,1,unit,1,unit(s),1
Closed Cup Mushrooms,Teriyaki Udon Noodles,1 punnet(s),Closed Cup Mushrooms,closed cup chestnut mushrooms,Closed Cup Chestnut Mushrooms 300g,1,300g,300,g,1,punnet(s),1
Red Onion,Teriyaki Udon Noodles,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Bell Pepper,Teriyaki Udon Noodles,1 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,1,unit(s),1
Spring Onion,Teriyaki Udon Noodles,2 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,2,unit(s),2
Radish,Teriyaki Udon Noodles,1 bag(s),Radish,radish,Radish 200g,0.55,200g,200,g,1,bag(s),1
Rice Vinegar,Teriyaki Udon Noodles,1 unit(s),Rice Vinegar,blue dragon white rice vinegar,Blue Dragon White Rice Vinegar 150ml,1.9,150m,150,ml,1,unit(s),1
Sesame Seeds,Teriyaki Udon Noodles,15 grams,Sesame Seeds,Sesame Seeds,Sainsbury's Sesame Seeds 100g,1,100g,100,g,15,grams,0.15
Udon Noodles,Teriyaki Udon Noodles,300 grams,Udon Noodles,yutaka udon noodles,Yutaka Udon Noodles 250g,1.3,250g,250,g,300,grams,1.2
Teriyaki Sauce,Teriyaki Udon Noodles,75 grams,Teriyaki Sauce,Teriyaki Sauce,Sainsbury's Teriyaki Sauce 150ml,0.9,150m,150,ml,75,grams,0.5
Sugar,Teriyaki Udon Noodles,1 tsp,Sugar,white granulated sugar,White Granulated Sugar 1kg,0.75,1k,1000,g,1,tsp,0.003
Green Pepper,Veggie Noodle Stir fry,1 unit(s),Green Pepper,green pepper,Green Pepper,0.45,x1,1,unit,1,unit(s),1
Carrot,Veggie Noodle Stir fry,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Red Onion,Veggie Noodle Stir fry,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic Clove,Veggie Noodle Stir fry,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Salted Peanuts,Veggie Noodle Stir fry,1 unit(s),Salted Peanuts,Salted Peanuts,Sainsbury's Salted Peanuts 200g,1,200g,200,g,1,unit(s),1
Soy Sauce,Veggie Noodle Stir fry,2 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,2,sachet,2
Ketchup,Veggie Noodle Stir fry,1 sachet,Ketchup,heinz tomato ketchup fiery chilli,Heinz Tomato Ketchup Fiery Chilli 255g,1.3,255g,255,g,1,sachet,1
Ketjap Manis,Veggie Noodle Stir fry,2 sachet,Ketjap Manis,Ketjap Manis,Malay Taste Kicap Manis 150g,2,150g,150,g,2,sachet,2
Egg Noodle Nest,Veggie Noodle Stir fry,2 pack(s),Egg Noodle Nest,oggs aquafaba egg alternative,OGGS Aquafaba Egg Alternative 200ml,1.95,200m,200,ml,2,pack(s),2
Sugar Snap Peas,Veggie Noodle Stir fry,1 pack(s),Sugar Snap Peas,Sugar Snap Peas,Sugar Snap Peas 220g,1.1,220g,220,g,1,pack(s),1
Ginger Puree,Veggie Noodle Stir fry,1 sachet,Ginger Puree,ginger paste,Ginger Paste 80g,1.45,80g,80,g,1,sachet,1
Echalion Shallot,Szechuan Glazed Pork Meatballs,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Plain Flour,Szechuan Glazed Pork Meatballs,4 grams,Plain Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,4,grams,0.002666667
Panko Breadcrumbs,Szechuan Glazed Pork Meatballs,10 grams,Panko Breadcrumbs,yutaka panko breadcrumbs,Yutaka Panko Breadcrumbs 180g,1.8,180g,180,g,10,grams,0.055555556
Soy Sauce,Szechuan Glazed Pork Meatballs,1 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,1,sachet,1
Pork Mince,Szechuan Glazed Pork Meatballs,240 grams,Pork Mince,pork chops,Pork Chops x4 700g,3.5,700g,700,g,240,grams,0.342857143
Bell Pepper,Szechuan Glazed Pork Meatballs,1 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,1,unit(s),1
Garlic Clove,Szechuan Glazed Pork Meatballs,2 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,2,unit(s),2
Noodles,Szechuan Glazed Pork Meatballs,2 pack(s),Noodles,yutaka udon noodles,Yutaka Udon Noodles 250g,1.3,250g,250,g,2,pack(s),2
Szechuan Paste,Szechuan Glazed Pork Meatballs,1 sachet,Szechuan Paste,Szechuan Paste ,Sainsbury's Szechuan Stir Fry Sauce 120g,0.5,120g,120,g,1,sachet,1
Mangetout,Szechuan Glazed Pork Meatballs,80 grams,Mangetout,Mangetout,Sainsbury's Trimmed Mange Tout 200g,1,200g,200,g,80,grams,0.4
Water,Szechuan Glazed Pork Meatballs,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Water for the Rice,Asian Inspired Rice,300 milliliter(s),Water for the Rice,Water for the Rice,Water for the Rice,0,x1,1,unit,300,milliliter(s),1
Vegetable Stock Powder,Asian Inspired Rice,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Basmati Rice,Asian Inspired Rice,150 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,150,grams,0.03
Ground Turmeric,Asian Inspired Rice,1 pot(s),Ground Turmeric,turmeric,Turmeric 48g,0.85,48g,48,g,1,pot(s),1
Bell Pepper,Asian Inspired Rice,1 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,1,unit(s),1
Carrot,Asian Inspired Rice,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Ginger,Asian Inspired Rice,1 piece,Ginger,ground ginger,Ground Ginger 38g,0.85,38g,38,g,1,piece,0.394736842
Spring Onion,Asian Inspired Rice,2 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,2,unit(s),2
Coriander,Asian Inspired Rice,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Lime,Asian Inspired Rice,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Tenderstem Broccoli ??,Asian Inspired Rice,1 pack(s),Tenderstem Broccoli ??,tenderstem broccoli,Tenderstem Broccoli 200g,1.2,200g,200,g,1,pack(s),1
Chilli Flakes,Asian Inspired Rice,1 pinch,Chilli Flakes,ancho chilli flakes,Ancho Chilli Flakes 27g,0.85,27g,27,g,1,pinch,0.111111111
Ketjap Manis,Asian Inspired Rice,1 sachet,Ketjap Manis,Ketjap Manis,Malay Taste Kicap Manis 150g,2,150g,150,g,1,sachet,1
Soy Sauce,Asian Inspired Rice,1 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,1,sachet,1
Sesame Oil,Asian Inspired Rice,1 sachet,Sesame Oil,lee kum kee sesame wok oil,Lee Kum Kee Sesame Wok Oil 207ml,2.3,207m,207,ml,1,sachet,1
Salted Peanuts,Asian Inspired Rice,1 unit(s),Salted Peanuts,Salted Peanuts,Sainsbury's Salted Peanuts 200g,1,200g,200,g,1,unit(s),1
Red Onion,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Bell Pepper,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,1,unit(s),1
Red Chilli,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Red Chilli,red chillies,Red Chillies 60g,0.65,60g,60,g,1,unit(s),1
Lime,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Garlic Clove,Coconutty Caribbean Kidney Bean Stew,2 clove,Garlic Clove,garlic,Garlic,0.25,x1,1,unit,2,clove,2
Thyme,Coconutty Caribbean Kidney Bean Stew,1 bunch(es),Thyme,thyme,Thyme 12g,0.85,12g,12,g,1,bunch(es),1
Coriander,Coconutty Caribbean Kidney Bean Stew,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Red Kidney Beans,Coconutty Caribbean Kidney Bean Stew,1 pack(s),Red Kidney Beans,red kidney beans in chilli sauce,Red Kidney Beans in Chilli Sauce 400g,0.65,400g,400,g,1,pack(s),1
Jerk Spice Mix,Coconutty Caribbean Kidney Bean Stew,1 pot(s),Jerk Spice Mix,jerk paste,Jerk Paste 90g,1.65,90g,90,g,1,pot(s),1
Smoked Paprika,Coconutty Caribbean Kidney Bean Stew,1 pot(s),Smoked Paprika,smoked paprika,Smoked Paprika 44g,0.9,44g,44,g,1,pot(s),1
Coconut Milk,Coconutty Caribbean Kidney Bean Stew,200 milliliter(s),Coconut Milk,ktc coconut milk,KTC Coconut Milk 400ml,1,400m,400,ml,200,milliliter(s),0.5
Vegetable Stock Powder,Coconutty Caribbean Kidney Bean Stew,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Baby Spinach,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Baby Spinach,young spinach,Young Spinach 260g,1.5,260g,260,g,1,unit(s),1
Steamed Basmati Rice,Coconutty Caribbean Kidney Bean Stew,1 pack(s),Steamed Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,1,pack(s),1
Water,Coconutty Caribbean Kidney Bean Stew,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Cauliflower Florets,Crisp Cauliflower Nuggets,1 pack(s),Cauliflower Florets,cauliflower,Cauliflower,0.79,x1,1,unit,1,pack(s),1
Mayonnaise,Crisp Cauliflower Nuggets,2 sachet,Mayonnaise,Mayonnaise,"Sainsbury's Mayonnaise, Thick & Creamy 500ml",0.9,500m,500,ml,2,sachet,2
Panko Breadcrumbs,Crisp Cauliflower Nuggets,50 grams,Panko Breadcrumbs,yutaka panko breadcrumbs,Yutaka Panko Breadcrumbs 180g,1.8,180g,180,g,50,grams,0.277777778
Central American Style Spice Mix,Crisp Cauliflower Nuggets,1 pot(s),Central American Style Spice Mix,Central American Style Spice Mix,Old El Paso Mild Chilli Seasoning Mix 39g,1,39g,39,g,1,pot(s),1
Cannellini Beans,Crisp Cauliflower Nuggets,1 pack(s),Cannellini Beans,cannellini beans in water,Cannellini Beans In Water 400g (235g*),0.55,400g,400,g,1,pack(s),1
Courgette,Crisp Cauliflower Nuggets,1 unit(s),Courgette,courgettes,Courgettes 500g,1.25,500g,500,g,1,unit(s),1
Garlic Clove,Crisp Cauliflower Nuggets,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Red Chilli,Crisp Cauliflower Nuggets,1 unit(s),Red Chilli,red chillies,Red Chillies 60g,0.65,60g,60,g,1,unit(s),1
Coriander,Crisp Cauliflower Nuggets,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Finely Chopped Tomatoes with Onion and Garlic,Crisp Cauliflower Nuggets,1 pack(s),Finely Chopped Tomatoes with Onion and Garlic,pasta sauce onion and garlic,"Pasta Sauce, Onion & Garlic 500g",0.65,500g,500,g,1,pack(s),1
Soured Cream,Crisp Cauliflower Nuggets,75 grams,Soured Cream,soured cream,Soured Cream 300ml,1.2,300m,300,ml,75,grams,0.25
Water,Crisp Cauliflower Nuggets,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Echalion Shallot,Sticky Smoked Tofu,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Garlic Clove,Sticky Smoked Tofu,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Green Beans,Sticky Smoked Tofu,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Smoked Tofu,Sticky Smoked Tofu,1 block(s),Smoked Tofu,Smoked Tofu,"Tofoo Smoked Tofu, Organic 225g",2.5,225g,225,g,1,block(s),1
Basmati Rice,Sticky Smoked Tofu,150 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,150,grams,0.03
Water for the Rice,Sticky Smoked Tofu,225 milliliter(s),Water for the Rice,Water for the Rice,Water for the Rice,0,x1,1,unit,225,milliliter(s),1
Vegetable Stock Powder,Sticky Smoked Tofu,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Vine Tomatoes,Sticky Smoked Tofu,2 unit(s),Vine Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,2,unit(s),2
Lemon,Sticky Smoked Tofu,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Mango Chutney,Sticky Smoked Tofu,2 sachet,Mango Chutney,Mango Chutney,Sainsbury's Mango Chutney 340g,1.5,340g,340,g,2,sachet,2
Nigella Seeds,Sticky Smoked Tofu,1 pot(s),Nigella Seeds,nigella seeds,Nigella Seeds 48g,0.85,48g,48,g,1,pot(s),1
North Indian Style Curry Powder,Sticky Smoked Tofu,1 pot(s),North Indian Style Curry Powder,tikka curry powder,Tikka Curry Powder 90g,1,90g,90,g,1,pot(s),1
Olive Oil,Sticky Smoked Tofu,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Potato,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 pack(s),Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,1,pack(s),1
BBQ Sauce,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,2 sachet,BBQ Sauce,bbq sauce,BBQ Sauce 500g,1.2,500g,500,g,2,sachet,2
Cider Vinegar,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 sachet,Cider Vinegar,cider vinegar,Cider Vinegar 500ml,0.99,500m,500,ml,1,sachet,1
Chipotle Paste,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 sachet,Chipotle Paste,Chipotle Paste,Sainsbury's Chipotle Chilli Paste 90g,1.65,90g,90,g,1,sachet,1
Spring Onion,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,1,unit(s),1
Carrot,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Cheddar Cheese,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 unit(s),Cheddar Cheese,british medium cheddar cheese slices,British Medium Cheddar Cheese Slices 240g,1.7,240g,240,g,1,unit(s),1
Black Beans,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 pack(s),Black Beans,dunns river black beans,Dunn's River Black Beans 400g (240g*),0.8,400g,400,g,1,pack(s),1
Diced Chicken Breast,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,280 tin(s),Diced Chicken Breast,british fresh diced chicken breast,British Fresh Diced Chicken Breast 410g,2.4,410g,410,g,280,tin(s),280
Water,Smokey BBQ Chicken Breast and Blackbean Loaded Wedges,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Bok Choy,Miso Honeyed Tofu,1 unit(s),Bok Choy,Bok Choy,Sainsbury's Pak Choi 200g,1.2,200g,200,g,1,unit(s),1
Chestnut Mushrooms,Miso Honeyed Tofu,1 unit(s),Chestnut Mushrooms,baby button mushrooms,Baby Button Mushrooms 200g,1.1,200g,200,g,1,unit(s),1
Shiitake Mushrooms,Miso Honeyed Tofu,1 unit(s),Shiitake Mushrooms,sliced button mushrooms,Sliced Button Mushrooms 290g (156g*),0.9,290g,290,g,1,unit(s),1
Garlic Clove,Miso Honeyed Tofu,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Tofu,Miso Honeyed Tofu,1 block(s),Tofu,Tofu,Mori-Nu Silken Tofu Firm 349g,1.4,349g,349,g,1,block(s),1
Plain Flour,Miso Honeyed Tofu,8 grams,Plain Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,8,grams,0.005333333
Jasmine Rice,Miso Honeyed Tofu,150 grams,Jasmine Rice,mai thai aaa jasmine fragrant rice,Mai Thai AAA Jasmine Fragrant Rice 5kg,5.5,5k,5000,g,150,grams,0.03
Honey,Miso Honeyed Tofu,1 sachet,Honey,Honey,Rowse Natural Blossom Honey Squeezy 340g,2.85,340g,340,g,1,sachet,1
Miso Paste,Miso Honeyed Tofu,1 tbsp,Miso Paste,yutaka miso paste organic,"Yutaka Miso Paste, Organic 300g",3,300g,300,g,1,tbsp,0.05
Soy Sauce,Miso Honeyed Tofu,1 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,1,sachet,1
Basmati Rice,Quick 'n' Sticky Beef,150 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,150,grams,0.03
Red Onion,Quick 'n' Sticky Beef,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Green Pepper,Quick 'n' Sticky Beef,1 unit(s),Green Pepper,green pepper,Green Pepper,0.45,x1,1,unit,1,unit(s),1
Coriander,Quick 'n' Sticky Beef,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Beef Steak Strips,Quick 'n' Sticky Beef,240 grams,Beef Steak Strips,   day matured beef sizzler steaks,21 Day Matured Beef Sizzler Steaks 350g,3,350g,350,g,240,grams,0.685714286
Thai Spice Blend,Quick 'n' Sticky Beef,1 pot(s),Thai Spice Blend,fragrant thai base,Fragrant Thai Base 90g,1.3,90g,90,g,1,pot(s),1
Hoisin Sauce,Quick 'n' Sticky Beef,2 sachet,Hoisin Sauce,lee kum kee hoisin sauce,Lee Kum Kee Hoisin Sauce 210g,1.95,210g,210,g,2,sachet,2
Soy Sauce,Quick 'n' Sticky Beef,1 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,1,sachet,1
Sweet Potato Fries,Glazed Szechuan Chicken Burger,1 pack(s),Sweet Potato Fries,sweet potato,Sweet Potato 1.25kg,1.5,1.25k,1250,g,1,pack(s),1
Chicken Thighs,Glazed Szechuan Chicken Burger,2 unit(s),Chicken Thighs,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,2,unit(s),2
Lime,Glazed Szechuan Chicken Burger,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Radish,Glazed Szechuan Chicken Burger,1 bag(s),Radish,radish,Radish 200g,0.55,200g,200,g,1,bag(s),1
Baby Gem Lettuce,Glazed Szechuan Chicken Burger,1 unit(s),Baby Gem Lettuce,little gem lettuce,Little Gem Lettuce x2,0.85,x2,2,unit,1,unit(s),0.5
Seeded Burger Bun,Glazed Szechuan Chicken Burger,2 unit(s),Seeded Burger Bun,Seeded Burger Bun,"Sainsbury's Brioche Burger Buns, Taste the Difference x2",1,x2,2,unit,2,unit(s),1
Mayonnaise,Glazed Szechuan Chicken Burger,2 sachet,Mayonnaise,Mayonnaise,"Sainsbury's Mayonnaise, Thick & Creamy 500ml",0.9,500m,500,ml,2,sachet,2
Szechuan Paste,Glazed Szechuan Chicken Burger,1 sachet,Szechuan Paste,Szechuan Paste ,Sainsbury's Szechuan Stir Fry Sauce 120g,0.5,120g,120,g,1,sachet,1
Lime,Teriyaki Chicken and Udon Noodle Stir Fry,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Spring Onion,Teriyaki Chicken and Udon Noodle Stir Fry,2 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,2,unit(s),2
Sliced Mushrooms,Teriyaki Chicken and Udon Noodle Stir Fry,1 punnet(s),Sliced Mushrooms,sliced button mushrooms,Sliced Button Mushrooms 290g (156g*),0.9,290g,290,g,1,punnet(s),1
Mangetout,Teriyaki Chicken and Udon Noodle Stir Fry,1 pack(s),Mangetout,Mangetout,Sainsbury's Trimmed Mange Tout 200g,1,200g,200,g,1,pack(s),1
Cooked Pulled Chicken,Teriyaki Chicken and Udon Noodle Stir Fry,200 grams,Cooked Pulled Chicken,roast sliced chicken breast,Roast Sliced Chicken Breast 160g,2,160g,160,g,200,grams,1.25
Udon Noodles,Teriyaki Chicken and Udon Noodle Stir Fry,2 unit(s),Udon Noodles,yutaka udon noodles,Yutaka Udon Noodles 250g,1.3,250g,250,g,2,unit(s),2
Teriyaki Sauce,Teriyaki Chicken and Udon Noodle Stir Fry,2 sachet,Teriyaki Sauce,Teriyaki Sauce,Sainsbury's Teriyaki Sauce 150ml,0.9,150m,150,ml,2,sachet,2
Red Onion,Smoky Mexican Style Bean Stew,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Bell Pepper,Smoky Mexican Style Bean Stew,2 unit(s),Bell Pepper,cayenne pepper,Cayenne Pepper 42g,1,42g,42,g,2,unit(s),2
Garlic Clove,Smoky Mexican Style Bean Stew,1 clove,Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,clove,1
